achtgesichterambiwasse_0483|er lag auf der Altane eines Hauses, das er gut kannte, aber in dem er lange nicht gewesen war;
meisterfloh_2793|und diese, die dir nun ihre Liebe gesteht –« Schnell griff er nach dem verhängnisvollen Geschenk des Meister Floh,
achtgesichterambiwasse_1125|Kinder sind taub, wenn sie spielen. Kein Knabe kehrte zurück, als die Brise von Amazu sich legte.
meisterfloh_0452|Die schöne Holländerin und seltsames Abenteuer des jungen Herrn George Pepusch, eines gewesenen Jenensers.
meisterfloh_0878|greift Ihr nach mir mit mörderischer Hand? – Doch vielleicht mißfiel Euch meine Gestalt, und ich tat Verkehrtes,
meisterfloh_1362|und dessen Papiere er sofort in Beschlag zu nehmen bitte. Der Rat erstaunte über die kecke Anklage eines
achtgesichterambiwasse_1271|Die Nachtzikaden begannen vor den Fenstern zu singen, und die Seelandschaft draußen verflüchtigte sich in Dämmerung.
achtgesichterambiwasse_1999|Die Frau war in den Tempel getreten, kniete auf den Strohmatten nieder
achtgesichterambiwasse_1290|sagte Omiya rasch. «Du sagtest mir, Amagata hätte sterbend gewünscht, daß ich dich, Omiya, lieben sollte;
meisterfloh_0071|so geriet er in eine Angst, die ihm die Zunge band und ein krampfhaftes Zittern durch alle Glieder verursachte.
serapionsbruederauswahl_0746|dessen Wissenschaft, dessen unverdrossenem Fleiß die Natur ihre geheimsten Schatzkammern erschließt.
meisterfloh_1359|nicht imstande, dies und das hineinzuinquirieren, welches dem Angeklagten doch irgendeinen kleinen Makel anhänge
meisterfloh_2003|daß leider meine alte Liebe erwacht und ich Tor genug sein konnte,   Herrschaft mit der holden Treulosen zu teilen.
achtgesichterambiwasse_0245|Hanake murmelt: «Die Magd sagt: hundertmal wird er wiederkommen!
meisterfloh_0792|so könnt' es nicht fehlen, daß Dörtjes Betragen ihm Anlaß gab zu mancher Eifersüchtelei. Gerade diese Eifersüchtelei
serapionsbruederauswahl_0712|da gedachte ich der Heimkehr und meiner guten alten Mutter,
achtgesichterambiwasse_2286|«Nicht _ich_ bin _dein_, sondern _du_ bist _mein_ geworden», antwortete ruhig der Japaner.
achtgesichterambiwasse_2041|Sie reiste durch Kioto, ohne den Tempel der fünftausend Genien aufzusuchen, und ging nach Seta in ihr Haus zurück,
achtgesichterambiwasse_1103|Omiya und Amagata waren zwei Turnlehrer in Ozu
achtgesichterambiwasse_1489|«Ich hätte dich beinah nicht erkannt, Graswürzelein, weil du zur Hälfte schwarz und zur Hälfte weiß bist.»
serapionsbruederauswahl_0631|So ging der fröhliche Zug fort über die Werfte – durch die Vorstädte bis nach der Hagavorstadt,
serapionsbruederauswahl_0734|Ihr tut wohl daran, daß Ihr dies Leben aufgebt für immer. Aber die Hände werdet Ihr doch nicht in den Schoß legen? –
achtgesichterambiwasse_1269|Ich will Omiyas Seele ausblasen, daß er hohl herumgeht und die Welt so leer sieht, als wäre der Biwasee ausgetrocknet.
achtgesichterambiwasse_1586|Der Himmel ist spinnwebgrau und scheint hinter einem Zipfel des Sees leicht zu brennen,
meisterfloh_2704|Gedanken, Regungen, Gefühle in seltsamem bunten Gewirr durcheinanderlaufen, so geschah es, daß
meisterfloh_1405|Ich will es glauben, daß der Tod deiner Eltern dich erschüttert hat, aber wenn jeder, der einen empfindlichen Verlust erlitten hat,
meisterfloh_1611|Weh mir! ich bin wohl nicht die rechte, ich habe wohl nie in Golkonda geherrscht? –
achtgesichterambiwasse_0824|dicht neben dem eroberten zerschossenen Feldbett des russischen Generals Kuropatkin.
serapionsbruederauswahl_0269|die geistreichsten Gespräche zu führen, ja nicht selten traten Spuren jenes scharfen Humors,
achtgesichterambiwasse_0565|«O, komm wieder herein, Geliebtester! Komm herein zu mir! Das ist der Nachtregen von Karasaki, der draußen im Mondschein glänzt.
meisterfloh_3002|niemals haben die Blumen, die bunten leichtgeflügelten Insekten zu euch gesprochen mit süßen Worten.
achtgesichterambiwasse_2445|Das Kostbare an der Liebe ist, daß sie ein ewiges Abenteuer bleibt,
meisterfloh_2045|doch von selbst sprang Meister Floh auf den weißen Hals der Kleinen, indem er mit dem Ton des tiefsten Schmerzes rief:
meisterfloh_2373|das ihm freilich in glänzendem verführerischem Schimmer entgegengelacht.
achtgesichterambiwasse_2448|Die Liebe wird immer etwas verschwenderisch sein, immer ein Zuviel in das Blut der Menschen bringen,
achtgesichterambiwasse_1845|und haben unsere Gewehre in die Luft abgeschossen, in die Wolken und in den blauen Himmel und haben mit den Bajonetten und den Säbeln in die Luft gestochen
achtgesichterambiwasse_2483|so soll sein Wille von keinem Frauenwillen zu schmelzen sein. Nur dann macht er Ilse glücklich.»
serapionsbruederauswahl_0919|Selbst den ältesten Bergleuten funkelten die Augen, als Ulla ihnen sowie allen übrigen die Hand bot zum freundlichen Gruß.
meisterfloh_2969|in widerwärtigen Krümmungen hin und her und suchte sich auf ekelhafte Weise bald dick aufzublasen,
meisterfloh_0569|vergebens erhoben sich auf das Wehgeschrei der Wurzel alle Blumen und stimmten ein in die trostlose Klage!
serapionsbruederauswahl_0984|bald flackerten die Grubenlichter von dem schneidend kalten Luftzuge, der die Abgründe durchströmte.
serapionsbruederauswahl_0425|die niemals in Raum und Zeit existierten. Ich bestritt, daß dies möglich, und er mußte mir einräumen,
meisterfloh_2639|Zindel und unheimlicher Wirtschaft verbanden sich von selbst miteinander, so wie ein Traum das Heterogenste vereint
meisterfloh_0510|als bis alle Leute an den Tisch getreten waren und sich gerüstet hatten zum Schauen. – Ihr könnet denken, Pepusch,
meisterfloh_2847|er glaubte mit Entzücken zu erkennen, daß er wert sei der Liebe der holdesten, engelreinsten Jungfrau.
achtgesichterambiwasse_0275|und den klingenden Haarschmuck in ihrem Haar fester gesteckt, als man das Herannahen der Freunde hörte.
achtgesichterambiwasse_2517|Ich habe nicht daran gedacht, daß ich unter eine ganze Welt von gelben Menschen komme.
serapionsbruederauswahl_0294|trug Brot, köstliche Trauben und eine Kanne Wein auf
serapionsbruederauswahl_1673|der Graf konnte aber wohl merken, daß der Zustand der Gattin dem bewährten Arzt zu rätselhaft,
serapionsbruederauswahl_0755|mit den lebendigsten Farben dem Unwissenden alles recht deutlich vor Augen zu bringen. Er kam auf die Bergwerke von Falun,
achtgesichterambiwasse_1968|faßte die Frau flink, wie ein Affe eine Äffin, und die harte Tempeldiele wurde ihr Liebeslager.
achtgesichterambiwasse_2428|und ohne Ilse sehr glücklich werden könnte.» Kutsuma hatte eine Landkarte auf seinem Schoß, sah auf und sagte:
meisterfloh_1792|Mit Blitzesschnelle hatte, wie es der geneigte Leser am Schlusse des vierten Abenteuers erfahren hat,
meisterfloh_1243|bis zu ihrer Aufnahme in Herrn Swammers Zimmer. »Mir scheint,« sprach Herr Swammer, als Peregrinus geendigt,
meisterfloh_2516|Peregrinus' Ohr auf dem Kopfkissen saß, »noch immer glaubt er, daß durch ihn Prinzessin Gamaheh belebt worden ist. Fürwahr,
achtgesichterambiwasse_0392|war hundertmal umarmt worden, ohne eine Umarmung zu ersehnen. Die Bewunderung war ihrem Körper zur Gewohnheit geworden.
serapionsbruederauswahl_1697|Da gewahrte er im hellsten Mondesschimmer dicht vor sich einen Kreis furchtbar gespenstischer Gestalten.
achtgesichterambiwasse_1823|Der Spielzeugverkäufer hatte an einer langen Stange ein Bündel Spielsachen hängen, meist aus Watte gearbeitete große Insekten,
serapionsbruederauswahl_1428|waren ihm auch die Gründe dieses Abscheus unbekannt geblieben. Das Recht der Gastfreundschaft, das vorzüglich auf dem Lande gelten mag,
achtgesichterambiwasse_0149|Hanake greift unwillkürlich mit beiden Händen über den Bootrand in das Wasser, wohin der Geliebte verschwand,
serapionsbruederauswahl_0124|er nickt: das Gesetz vom kalten Punsch wird gegeben und die Ausführung dem Minister des Innern übertragen.
achtgesichterambiwasse_1201|und liest: «Tue mit deinem Sohn, der nicht mein Sohn, sondern Amagatas Kind ist, dasselbe,
meisterfloh_2864|Man will sogar behaupten, daß er während dieses Akts laut genug gerufen: »Grober Schlingel!!«
meisterfloh_1968|oder dessen ›oratio pro muribus‹ gelesen.
meisterfloh_0861|ganz genau das kleine Ungeheuer zu beschreiben, das auf der Bettdecke saß und dem Herrn Peregrinus einiges Entsetzen verursachte.
serapionsbruederauswahl_1586|Andern Morgens war die Baronesse ausgegangen und kam erst am späten Abend wieder, während Aurelie,
meisterfloh_1033|oder der bösen falschen Verlockung eines verführerischen Wesens zu widerstehen und so
achtgesichterambiwasse_1012|«Alle Bäume erzählen es, daß die Harfe im kleinen, ewigen Feuerland liegt.» «Weib, weißt du den Weg dorthin?» «Natürlich.
meisterfloh_1966|Ich wollte, Ihr hättet, was die denkende, sich willkürlich bestimmende Seele der Tiere betrifft, den griechischen Philo
meisterfloh_2126|Gegner halb tot dalag, sprang er schnell auf ihn zu und begann ihn mit geballter Faust derb abzubläuen.
achtgesichterambiwasse_1261|Dein Vater Amagata würde mich nicht als deine Mutter im Totenreich empfangen, wenn ich fortgegangen wäre von der Erde, ohne Omiya zu zeigen,
achtgesichterambiwasse_0884|Ata-Mono suchte den Weg dorthin und las von Baum zu Baum die Rindensprache, bis er ans Meer kam;
serapionsbruederauswahl_0943|Er erzählte, wie er, Sohn eines Seemanns, von Kindesbeinen an auf der See gewesen, wie er, eben von Ostindien zurückgekehrt,
achtgesichterambiwasse_0583|Deshalb glänzt Karasaki festlich beleuchtet in der Nacht.
meisterfloh_0729|dem er geäußert hatte, daß er die Ekstase, in die alles versetzt sei, für einen seltsamen Wahnsinn halte,
achtgesichterambiwasse_0531|und er richtete sich auf und befahl mit seinen Augen dem Mädchen, zu bleiben und ihn nicht mehr anzurühren.
meisterfloh_1136|welches artig anzusehen war. – Doch gewiß liegt die Dame unten noch ebenso wie vorher auf dem Sofa,
serapionsbruederauswahl_0460|daß kein historisches Werk der besonderen Umstände erwähne, die er anführe, so versicherte er mit mildem Lächeln,
achtgesichterambiwasse_2230|Die weißgetünchten Eisenwände, die sachlichen Eisengeländer, die alle gerade und senkrechte Linien zeigten,
meisterfloh_0265|regnete und schneite es wild durcheinander, so kann man denken, daß Herr Peregrinus nicht ohne große Beschwerde zu seinem Ziel gelangte.
serapionsbruederauswahl_0071|die das eigne liebe Ich schuf. – Wie ist es nur möglich, Lothar,
serapionsbruederauswahl_1336|Was war natürlicher, als daß man die ganze Erscheinung den wunderbaren Täuschungen des dämmernden Abendlichts zuschrieb.
serapionsbruederauswahl_0575|»daß Lothar seine Miene ganz verändert hat?
meisterfloh_0353|die Kinder taten, als seien sie mit der Fremden lange bekannt gewesen; die Frau sprach aber:
achtgesichterambiwasse_2246|Nie sind zwei Menschen fröhlicher und sorgloser in die Zukunft gereist als diese beiden Damen.
achtgesichterambiwasse_0103|Die Diele zitterte, und ein prächtiger junger Mann trat ein. Hanake fiel vor ihm auf die Kniee und berührte mit der Stirn die Diele,
meisterfloh_0448|bis unten eine Türe heftig zugeschlagen wurde. Dann
meisterfloh_2165|Da erblickte er zu seiner nicht geringen Verwunderung einen jungen Menschen, der mit einer
serapionsbruederauswahl_0831|Die Kameraden rüttelten ihn auf aus der Träumerei, er  mußte ihrem Zuge folgen.
meisterfloh_2312|wenn der Karfunkel aufgeglüht ist in Eurer Brust!« – »Und,« unterbrach Peregrinus den Flohbändiger aufs neue,
achtgesichterambiwasse_2147|der Gott der Inbrunst ohne Pflichten und ohne Schranken.
achtgesichterambiwasse_0336|Und Viertelstunde um Viertelstunde kannst du durch die Straßen gehen, vorüber an den Heeren der Tausende von jungen Mädchen.
serapionsbruederauswahl_1192|dann wird's sich schon geben mit den Trappgängen und Schätzen und dem ganzen unterirdischen Paradiese!«
meisterfloh_3047|er glaubte tief klagende Melodien einer hoffnungslosen Sehnsucht zu vernehmen,
serapionsbruederauswahl_0073|und an alle Philisterei, die damit notwendig verknüpft ist?
serapionsbruederauswahl_1277|Der Sohn befand sich, als ich dorten war, bei der Armee, so daß die Familie außer dem Ehepaar nur noch aus zwei Töchtern
serapionsbruederauswahl_0771|wie Euer Sinn es Euch eingibt!« Damit sprang der Alte hastig auf von der Bank und  schritt von dannen,
meisterfloh_1042|mag dem sein, wie ihm wolle, Ihr habt Euch einmal in meinen Schutz begeben, lieber Meister, und nichts soll mich vermögen,
meisterfloh_2853|aus denen diese wundersame Geschichte entnommen, stimmen darin überein, und der hundertjährige Kalender bestätiget es,
meisterfloh_0117|häßlichen Harlekin mitzubringen. Des Kindes Augen belebten sich auf wunderbare Art,
serapionsbruederauswahl_0654|und setzte sich  hin neben dem trübsinnigen Elis, der sich wieder, verstummt und in sich gekehrt, auf die Bank niedergelassen hatte.
meisterfloh_1262|weil ich seiner Hilfe bedarf. Er ist unbefangen genug, mir alles zu glauben, ja
meisterfloh_1733|verständig genug, einzusehen, daß eine Vernehmung, die Knarrpanti selbst besorgen wollte, dem Peregrinus keinen Nachteil bringen,
achtgesichterambiwasse_1172|und Omiya sollte die Hand an den Mützenschild führen und den russischen Zarensohn grüßen.
meisterfloh_2608|da Ihr diesen Entschluß ausgesprochen?« Seltsam genug war es wohl, daß wirklich sich begab, was Meister Floh mit prophetischem Geiste
achtgesichterambiwasse_1233|Es wurde Nachmittag. Die Frau las immer noch. Wohl wunderte sie sich manchmal,
meisterfloh_0534|und ließet es nicht zu, daß sie mir die Hand gab, da Ihr doch bemerken mußtet, wie innig wir uns liebten? –
achtgesichterambiwasse_2145|daß er auch Kindespflichten kannte, seine alte Mutter an seinem Arm stützte,
achtgesichterambiwasse_0232|Die Menschen, die einsam sind, Sind wie die Boote von Yabase, Die blaß hintreiben im Abendwind.
meisterfloh_2264|Die Gedanken lauteten: »Hoho! willst du da hinaus, mein kluger Patron? Fürwahr,
achtgesichterambiwasse_0851|Dieser älteste Baum Japans stützt sich jetzt wie ein gealterter Gott, der Hunderte von Armen vom Himmel über die Erde ausbreitet,
meisterfloh_2506|bewirkt habe. So wie Swammerdamm erzählte, hatten sich beider Herzen in dem Augenblick zueinander hingeneigt,
meisterfloh_0395|daß ich elendiglich hier umkommen muß, wenn du mich nicht aufnimmst bei dir wie sonst? – Doch
serapionsbruederauswahl_0878|Elis fühlte sich von tiefen Schauern durchbebt und, was dem Seemann noch niemals geschehen, ihn ergriff der Schwindel;
achtgesichterambiwasse_1101|Und Götterkraft deinem Fuß im Schuh, -- Dann sieh jetzt vorsichtig vor dich hin. Glück währt nie lang,
meisterfloh_2971|In der Mitte des Saals saßen auf kolossalen Mikroskopen Leuwenhoek und Swammerdamm
meisterfloh_1564|wie der beste Solotänzer von der Pariser Bühne, bis der andere ihn mit dem verkürzten Fernglase fest fixierte.
serapionsbruederauswahl_1687|Die Gräfin pflegte jeden Abend selbst den Tee zu bereiten, den der Graf genoß, und sich dann zu entfernen.
serapionsbruederauswahl_0227|Mein Freund Ambrosius von Kamaldoli kehrt nach Alexandrien zurück, ziehe mit ihm.‹ Damit stand der Mann auf
meisterfloh_1507|Ihres braven Herrn Vaters zu verdoppeln.« Die Gedanken lauteten: »Wenn der Mensch nur Geschäfte machen wollte,
meisterfloh_1128|erwiderte die Alte schmunzelnd, »ach, das ist alles vorbei. Man darf ja nur die liebe Dame recht ansehen,
meisterfloh_2043|die sich halb aufgerichtet hatte, in die Kissen zurück, ihr Busen wallte wie im Todeskampf stürmisch auf und nieder,
meisterfloh_1700|»Entführt habe ich ihm diese Marianne, diese Philine, diese Mignon; denn zu sehr vertiefte er sich in diese Gestaltungen,
serapionsbruederauswahl_0607|das der Teufel schon von selbst hineintragen wird bei guter Gelegenheit, und sprechen wir von dem Serapiontischen Prinzip!
achtgesichterambiwasse_1500|die mondblau und feuerrot in meiner Hand irisiert und leuchtet. Das ist das Bild, das ich hier malen will.
meisterfloh_0813|Die Kleine drehte sich auf dem Absatz herum, schlug ein helles Gelächter auf und rief: »Geht, geht, George!
serapionsbruederauswahl_1183|so lachte er höhnisch und meinte, freilich verstehe er nur allein die geheimen Zeichen,
meisterfloh_1848|kurz, in ihrem ganzen Wesen tat wie jemand, der etwas auf dem Herzen hat und es gern los sein möchte.
meisterfloh_0024|mancher goldne Apfel aus den Gärten der Hesperiden hing an den Ästen, die sich beugten unter der süßen Last.
serapionsbruederauswahl_0819|wie Ahnungen, Wünsche, die er nicht zu nennen vermochte, sein Inneres durchkreuzten. –
meisterfloh_1490|und jetzt bleibt er stehen und guckt mir so ganz sonderbar ins Auge und küßt mir die Hand ohne alle Scheu!
serapionsbruederauswahl_0960|Das Herz ging dem Elis auf bei Pehrson Dahlsjös Rede.
serapionsbruederauswahl_1205|dunkel sprühendes Feuer in den Augen. »Ich will,« sprach er mit leiser schwankender Stimme,
achtgesichterambiwasse_1112|Kirschbäume stiegen auf, als käme der rosigste Frühling noch einmal in den Hochsommer herein,
meisterfloh_0055|und daher beinahe die besten. Sechs Jahre früher hieß es von ihm, er sei ein recht hübscher Mensch, jetzt nannte man ihn mit Recht einen Mann von
serapionsbruederauswahl_1386|aber man merkte wohl an seinem verstörten Wesen
achtgesichterambiwasse_0023|sie lieben, das Leben als einen ewigen Krieg anzusehen. Sie sind wie Donnergötter ungeduldig und aufstampfend,
serapionsbruederauswahl_0032|wie wir beides zu genießen und zu verarbeiten gedächten, auserlesenen Wein und absonderlichen Hasenfuß.
serapionsbruederauswahl_1703|ohne einen deutlichen Gedanken fassen zu können, sprang er die Treppe herauf, stürzte durch die Zimmer, hinein in das Schlafgemach.
serapionsbruederauswahl_0630|und alle jauchzten und jubelten, daß das helle Getöse weit in den Lüften erhallte.
achtgesichterambiwasse_0812|Einmal schleppte er Arme voll Dynamit vor das eiserne Tor eines Forts. Um den japanischen Truppen den Eingang in das Fort zu verschaffen,
meisterfloh_1561|indem sie ihre Waffen durch Aus- und Einschieben bald verlängerten, bald verkürzten. Da gab es Finten, Paraden, Volten,
meisterfloh_1833|gar keine wären, sondern nur Worte, die sich vergeblich mühten, Gedanken zu werden.
meisterfloh_0056|feinem Ansehen; immer, damals und jetzt wurde aber von allen getadelt, daß Peregrinus zu sehr sich zurückziehe,
serapionsbruederauswahl_0173|Er stürzt ihm nach, klopft ihm auf die Schulter, und als Sebastian sich umschaut, fängt Ptolomäus sogleich an: ›Du behauptest also, daß‹ –
achtgesichterambiwasse_1815|und wenn du mir verzeihen kannst, daß ich gelacht habe, als du noch nicht so schön warst. Willst du mir aber eines Tages die Treue brechen,
achtgesichterambiwasse_1099|so singt man ihm folgendes Lied abends unter den Fenstern:
serapionsbruederauswahl_1146|»Ist es denn nun noch dein Höchstes, daß du Ulla erworben?
achtgesichterambiwasse_1712|und mit der Liebe blieben Sonne und Mond aus dem Reich verschwunden. Denn die Liebe ist allmächtiger als die Weisheit.
achtgesichterambiwasse_0888|und sah mit seinem Angesicht Tag für Tag nach Osten, wo hinter den Wellenbergen das kleine Land des ewigen Feuers war,
meisterfloh_1077|der es vor Herzklopfen nicht länger aushalten konnte, fragte: »Was ist denn wundersam, liebe Aline?« »Allerlei,
serapionsbruederauswahl_1055|weitete man in gewinnsüchtiger Gier die Gruben immer mehr und mehr aus,
meisterfloh_1176|und dürstendem Verlangen. Als nun aber die Holde aufseufzte: »Peregrinus, mein Peregrinus!«
meisterfloh_1293|Wie Dörtje Elverdink beinahe die Wahrheit spricht
serapionsbruederauswahl_0131|Das Symbol der Gesellschaft bestand in einer silbernen Büchse, auf der ein stattlicher Hahn, die Flügel ausgebreitet, krähend, sich mühte, Eier zu legen. –
achtgesichterambiwasse_2435|Gefühle sind doch das Unbegrenzte am Leben!
achtgesichterambiwasse_0370|Vom Stadtgouverneur war der Befehl ergangen und an den Straßenecken angeschlagen: «Japaner!
achtgesichterambiwasse_0235|Plötzlich fährt Hanake, wie von einem Schuß getroffen, auf. Sie wirft die Arme in die Luft und fällt ohne Aufschrei auf die Diele,
meisterfloh_1389|Du willst ein Held der Gemütlichkeit, der Kindlichkeit sein, und darum verhöhnst du die gerechten Ansprüche,
serapionsbruederauswahl_1239|wohl an die funfzig Jahre verflossen. Da geschah es,
achtgesichterambiwasse_1771|Mondköpfchen ließ sich am nächsten Morgen in einer Sänfte in ihr Vaterhaus tragen, weinte sich bei ihrem Vater und ihrer Mutter aus
meisterfloh_2427|zu seiner Frau Gemahlin erkiesen und dann nach sieben Monaten selbst entscheiden solle,
meisterfloh_2622|als er gewahrte, wie sehr ihn Pepusch in seinem ganzen Beginnen mißverstanden. »Nie,« sprach er,
achtgesichterambiwasse_1117|und wo die Mädchen den Frühlingsgottheiten eine Tanzzeremonie ausdenken, um der lächelnden Kirschblüte zu huldigen.
achtgesichterambiwasse_1691|sondern ihn zu einem Gott hatten machen wollen. Denn ihm war klar:
meisterfloh_1627|verwandelten und wunderbare Sprachen redeten. Keine Erscheinung paßte zu der anderen,
meisterfloh_0181|und empfahl ihn überdies einem dortigen Freunde, der ihm in allem treulich beistehen sollte. Peregrinus kam nach Hamburg,
serapionsbruederauswahl_0511|»du, lieber Ottmar, gehst hierin wieder offenbar zu weit, indem, wie ich wohl weiß, du alles, was sich von innen heraus im Äußern auf nicht gewöhnliche, etwas seltsame Weise gebärden will, hassest.
serapionsbruederauswahl_0057|und setze fest, daß wir uns jede Woche an einem bestimmten Tage zusammenfinden wollen,
serapionsbruederauswahl_0959|Ihr könnt, wenn Ihr wollt, nun gleich bei mir bleiben und morgenden Tages mit dem Steiger anfahren, der Euch die Arbeit schon anweisen wird.«
serapionsbruederauswahl_0448|Ich gedachte jener schmerzlichen Worte Opheliens: ›O welch ein edler Geist ist hier zerstört!
achtgesichterambiwasse_1638|Der König antwortete ihnen nicht, führte das Weib zu seinem Boot und befahl, daß man die Segel lichte,
serapionsbruederauswahl_0250|Er erkannte augenblicklich in ihm seinen unglücklichen aus M- verschwundenen Neffen.
meisterfloh_2327|gewisser Umstände klar und vollständig belehrt, daß aber, so will es die Weisheit der ewigen Macht,
achtgesichterambiwasse_0435|während drinnen über den Dächern von Karasaki Hunderte von Fischen wie Fahnen die Luft füllten.
meisterfloh_0338|zum erstenmal seine ganze Lebensweise, das Spiel mit der Weihnachtsbescherung kindisch und abgeschmackt vor,
meisterfloh_2300|Als strahlender Karfunkel lagt Ihr damals im tiefen Schacht der Erde, aber über Euch,
achtgesichterambiwasse_0918|weil der Baum von der Wurzel bis zur Krone wie eine feurige Kohle leuchtete. Der Baum schwieg.
meisterfloh_2191|ganz leise und feierlich, »seht, ihr guten Männer, der, den ihr den Ballettmeister Legénie nennt,
meisterfloh_2770|wie viele Leute bezeugen können, denen es mit dieser Liebe bald gut, bald schlimm ergangen. – Der geneigte Leser hat es aber längst erraten,
serapionsbruederauswahl_0052|Aber nun Theodor geradeheraus gesagt hat, woran es liegt, fühle ich mich euch allen um vieles näher gerückt,
serapionsbruederauswahl_1084|Ich geb' ihm auf sein Werben meine Tochter zum Weibe; er zieht mit ihr nach Göthaborg,
serapionsbruederauswahl_0828|und verdichten zum steinernen Gewölbe. – Er stand wieder in seinem Traum,
meisterfloh_0308|und er hätte entfliehen können, aber gebannt fühlte er sich, nicht von der Stelle konnte er weichen, wie ein armes Tierlein,
serapionsbruederauswahl_0205|»daß unser Cyprian, unser liebes Sonntagskind, wieder allerlei bedenkliche Geister gesehen hat, die zu erschauen nach seiner Weise er unsern gänzlich irdischen Augen nicht zutraut! –
achtgesichterambiwasse_2328|erschien ihr lächerlich und leichenhaft neben der schönen Pulverfarbe der Afrikaner.
achtgesichterambiwasse_1168|sondern mit noch übernächtigen Köpfen wie feiste Dämonen in den kleinen Wagen saßen und halb eingeschlafen waren.
meisterfloh_2986|Aber Dörtje Elverdink und George Pepusch, oder wie sie hier besser zu benennen, die Prinzessin Gamaheh und die Distel Zeherit,
achtgesichterambiwasse_1706|Denn alle hatten beratschlagt, daß sie den wütenden König noch vor Abend töten müßten, um nicht selbst getötet zu werden.
meisterfloh_1556|und stemmte sich mit dem Rücken gegen die Türe des verhängnisvollen Zimmers, wo die Schöne gefangen saß. Swammerdamm zog,
